1;1;11EG0366B;30lvs. állózöld PHILO;3,50000;5;12;0,204;0,530;0,439
1;1;06AB0222A;nádbuzogány x 14 AKCIÓS!;1,19900;8;12;0,224;0,177;0,134
1;1;17227;150 cm fáklya AKCIÓS!;0,87000;40;1;0,100;0,300;0,200
1;1;41625;fém+fa asztal;32,10000;1;1;0,100;5,000;4,500
1;1;41626;fém+fa szék;22,87500;2;1;0,100;4,000;3,500
1;1;GB2-0169A;tobozos paprikás almás fa AKCIÓS!;0,29000;6;2;0,162;0,666;0,500
1;1;JF47243;szizál szív alakú váza AKCIÓS!;0,88800;56;1;0,128;0,169;0,139
1;1;27GX0329;hagyma alakú ajtódísz x7AKCIÓS!;0,35300;6;12;0,159;0,129;0,082
1;1;27RX0296;amarilisz szál.bárs.MIX. AKCIÓS!;0,76900;16;6;0,323;0,196;0,111
1;1;C05/METAL/DK.BLUE;CSAVART gyertya 20 cm 40 g;0,29500;24;1;0,028;0,602;0,560
1;1;YDK01/LACKED/DK.BLUE;25cm vékonylakk gyertya12/s AKCIÓS!;0,02700;24;1;0,008;0,182;0,140
1;1;XL178B;kilincsre akasztható miki.AKCIÓS!.;0,02700;40;1;0,071;0,100;0,050
1;1;10DG83412;15cm váza 4db/s SET ÁR AKCIÓS!;0,90000;18;1;0,064;0,208;0,180
1;1;DXY23835;méz.kalács maci+gy.tartó AKCIÓS!;0,08600;20;6;0,130;0,175;0,150


