AJ00862TFLP/RT0091;szegfű WHI NAGYKARTONRA ADDDDD;0,04400;3500;1;0,195;DS;0,006;0,005
SE11925;6cm kis vödör AKCIÓS!;0,02800;36;8;0,057;MG;0,060;0,050
SE11925-CAN;6cm kis vödör gyertyával AKCIÓS!;0,03300;36;8;0,057;MG;0,079;0,069
HC30913;papir rózsa cs.x8 AKCIÓS!;0,15000;30;24;0,220;RJ;0,023;0,016
11EG0366B;30lvs. állózöld PHILO;3,50000;5;12;0,204;US;0,530;0,439
06AB0222A;nádbuzogány x 14 AKCIÓS!;1,19900;8;12;0,224;US;0,177;0,134
17227;150 cm fáklya AKCIÓS!;0,87000;40;1;0,100;UY;0,300;0,200
41625;fém+fa asztal;32,10000;1;1;0,100;UY;5,000;4,500
41626;fém+fa szék;22,87500;2;1;0,100;UY;4,000;3,500
GB2-0169A;tobozos paprikás almás fa AKCIÓS!;0,29000;6;2;0,162;GB;0,666;0,500
JF47243;szizál szív alakú váza AKCIÓS!;0,88800;56;1;0,128;FK;0,169;0,139
27GX0329;hagyma alakú ajtódísz x7AKCIÓS!;0,35300;6;12;0,159;UK;0,129;0,082
27RX0296;amarilisz szál.bárs.MIX. AKCIÓS!;0,76900;16;6;0,323;UK;0,196;0,111
C05/METAL/DK.BLUE;CSAVART gyertya 20 cm 40 g;0,29500;24;1;0,028;TC;0,602;0,560
YDK01/LACKED/DK.BLUE;25cm vékonylakk gyertya12/s AKCIÓS!;0,02700;24;1;0,008;TC;0,182;0,140
XL178B;kilincsre akasztható miki.AKCIÓS!.;0,02700;40;1;0,071;TJ;0,100;0,050
10DG83412;15cm váza 4db/s SET ÁR AKCIÓS!;0,90000;18;1;0,064;FC;0,208;0,180
DXY23835;méz.kalács maci+gy.tartó AKCIÓS!;0,08600;20;6;0,130;MG;0,175;0,150
JFOA;10ml illóolaj AKCIÓS;0,00300;6;48;0,021;WI;0,045;0,041
C80635;225cm Downswept fenyő 528ág;57,29600;1;1;0,115;TM;16,020;13,520
C66413;180cm 493ág fenyőfa CRYSTAL;25,70000;1;1;0,043;TM;7,100;5,900
11KS0798;szálas helikónia AKCIÓS!;0,02700;12;24;0,254;US;0,069;0,048
72028;32cm lovas asztal  AKCIIÓS!;3,01400;1;1;0,100;UY;5,000;4,000
72006;32cm asztal lánnyal AKCIÓS!;3,01400;1;1;0,100;UY;5,000;4,000
41604;3 polcos állvány;33,41500;2;1;0,100;UY;2,000;1,500
41677;virágtartó fém+fa 3db/set;79,30000;1;1;0,260;UY;8,000;7,000
41679;3 polcos állvány fém+fa;51,85000;1;1;0,100;UY;5,000;4,000
41680;3 polcos sarok állvány fém+fa;32,43200;1;1;0,100;UY;4,000;3,000
41682;fél asztal fém+fa;48,80000;1;1;0,200;UY;4,000;3,000
41683;kis asztal fém+fa;50,63000;1;1;0,100;UY;3,000;2,000
71977;sötét fa asztalka fiókkal;53,88400;1;1;0,120;UY;4,000;3,000
71980;sötét fa asztalka;52,56200;1;1;0,120;UY;3,000;2,000
71984;világos fa asztalka;52,56200;1;1;0,120;UY;3,000;2,000
RJ6B30041;9cm bogyós szives gy.gy.AKCIÓS!;0,37200;18;6;0,110;RJ;0,129;0,092
JF47932,8-10;vessző,bogyó harang 2/SET AKCIÓS!;0,29500;40;1;0,460;FK;0,110;0,090
YGB102289;GBS14928 gumimagnólia ág x 5;0,99600;10;12;0,142;FS;0,150;0,100
YGB108212;GBS15445 kisfejű gumi mag.ágx2;0,43500;14;36;0,194;FS;0,031;0,023
GF153298;11EG0333B 30lvs állózöld DIFFE;3,50000;5;12;0,178;US;0,571;0,500
GF152383;11EG0345B 30 lvs állózöld;3,50000;5;12;0,178;US;0,571;0,500
GF155155;19NG0299 páfránylevél x 7;0,19600;12;144;0,239;US;0,011;0,008
GF155162;19NG0300 páfránylevél x 7;0,26500;12;144;0,313;US;0,013;0,009
GF152109-RED;02M0004-00bimbós bársony rózsa;0,82400;24;24;0,170;US;0,041;0,025
GF001360;07BB3520 nefelejcs csX9;3,05500;14;12;0,280;US;0,119;0,063
GF001421;09B0115-02 areca pálma x7 180cm;42,35100;6;1;0,160;US;2,916;2,272
GF001452;09BG1609 crotonfa 69 lev.100cm;11,68500;4;1;0,080;US;2,613;2,329
HOG109783;HG551008Szives girland gyöngyA;0,58000;12;24;0,131;HG;0,045;0,038
GF153243;15BP0224 nádbuzogány pickAKCIÓS!;0,11200;10;288;0,093;US;0,004;0,003
JH000349;AA02588 kis ibolya cs.x12;0,57700;6;72;0,121;FS;0,016;0,009
LC000264;228FB00016müa.gyöngyvirág csX7;1,23900;8;24;0,225;FS;0,097;0,071
LC001261;38FB35030bim.rózsa csx12 rezgő;1,11800;12;12;0,318;US;0,131;0,083
JH001001;AQ11140LP plüss szivecs.pickAK;0,15000;720;1;0,126;DH;0,019;0,016
JH002602-MAPLE;AE67524ALP 68lvs futó S138A;1,16500;72;1;0,075;FS;0,069;0,041
JH002602-ENG;AE67524ALP 68lv futó S127A;1,16500;72;1;0,075;FS;0,069;0,041
JH002602-PHO;AE67524ALP 68lv futó S121;1,16500;72;1;0,075;FS;0,069;0,041
JH002602-CYCLAM;AE67524ALP68 lvs fut.S137;1,16500;72;1;0,075;FS;0,069;0,041
JH002619-CYCLAM;AE67508LP 133lv futó MK223;2,02000;96;1;0,119;FS;0,162;0,147
